index,title,year,production_company,Bond_actor,director,Box office (millions) Actual $,Box office (millions) Adjusted $2005,rating_Metacritic,rating_IMDB,rating_IMDB_numbers,length_movie,rating_RT_tomatoscore,rating_RT_audience_score,Song_theme,Song_composed_by,Song_Performed_by,spotify_rating
18,Licence to Kill,1989,EON,Timothy Dalton,John Glen,156.2,250.9,58,6.7 ,112K,2h 13m,80%,61%,"""Licence to Kill""","Narada Michael Walden, Jeffrey Cohen and Walter Afanasieff",Gladys Knight,48
19,GoldenEye,1995,EON,Pierce Brosnan,Martin Campbell,352,518.5,65,7.2 ,271K,2h 10m,80%,83%,"""GoldenEye""","Bono, The Edge",Tina Turner,50
20,Tomorrow Never Dies,1997,EON,Pierce Brosnan,Roger Spottiswoode,333,463.2,52,6.5 ,205K,1h 59m,57%,53%,"""Tomorrow Never Dies""","Sheryl Crow, Mitchell Froom",Sheryl Crow,44
21,The World Is Not Enough,1999,EON,Pierce Brosnan,Michael Apted,361.8,439.5,57,6.4 ,210K,2h 8m,51%,49%,"""The World Is Not Enough""","David Arnold, Don Black",Garbage,40
22,Die Another Day,2002,EON,Pierce Brosnan,Lee Tamahori,432,465.4,56,6.1 ,230K,2h 13m,55%,41%,"""Die Another Day""","Madonna, Mirwais Ahmadzaï",Madonna,54
23,Casino Royale,2006,EON,Daniel Craig,Martin Campbell,606,589.4,80,8.0 ,697K,2h 24m,94%,90%,"""You Know My Name""","David Arnold, Chris Cornell",Chris Cornell,48
24,Quantum of Solace,2008,EON,Daniel Craig,Marc Forster,586.1,514.2,58,6.5 ,472K,1h 46m,64%,58%,"""Another Way to Die""",Jack White,"Jack White, Alicia Keys",53
25,Skyfall,2012,EON,Daniel Craig,Sam Mendes,"1,108.60",943.5,81,7.8 ,733K,2h 23m,92%,86%,"""Skyfall""","Adele, Paul Epworth",Adele,83
26,Spectre,2015,EON,Daniel Craig,Sam Mendes,880.7,725.5,60,6.8 ,468K,2h 28m,63%,61%,"""Writing's on the Wall""","Sam Smith, Jimmy Napes",Sam Smith,64
27,No Time to Die,2021,EON,Daniel Craig,Cary Joji Fukunaga,771.2,582,68,7.3 ,447K,2h 43m,83%,88%,"""No Time to Die""","Billie Eilish, Finneas O'Connell",Billie Eilish,75
